# name<TAB>display<TAB>why. Keyed by artistaggregate.name (unique). Only display_name changes;
# name and name_key stay as they are, so every stored link keeps resolving.
# 1. key-stable: normalize_key(display) == name_key, so no URL changes
#queen - platinum collection	Queen	REL [titles not on target: 2/30]
#soad (system of a down)	System of a Down	DIS [titles not on target: 4/38]
#alan jackson (2)	Alan Jackson	DIS [titles not on target: 2/35]
#alt-j (∆)’s	alt-J	SCR (likely) [titles not on target: 4/40]
#dadju - www.time2rap.io	Dadju	SITE [titles not on target: 2/38]
#george [us] strait	George Strait	SCR [titles not on target: 1/11]
#insane clown posse (icp)	Insane Clown Posse	DIS [titles not on target: 2/40]
#nirvana__www.sectorfile.com	Nirvana	SITE [titles not on target: 0/28]
#ben&amp;ben	Ben&Ben	ENT [titles not on target: 2/24]
#boyce avenue(acoustic cover)	Boyce Avenue	REL [titles not on target: 0/7]
#ant) felt (slug	Felt (Slug & Ant)	SCR (likely) [titles not on target: no target page]
#b'z - album	B'z	REL [titles not on target: 2/39]
#steve perry (ex - journey)	Steve Perry	DIS [titles not on target: 1/38]
#danger 3 jam project (rica matsumoto	JAM Project	SCR (unsure): original credit unclear [titles not on target: 0/36]
#nirvana (us)	Nirvana	DIS (likely) [titles not on target: 0/28]
#pink floyd [discovery box set 2011]	Pink Floyd	REL [titles not on target: 3/30]
#b.r.m.c. (black rebel motorcycle club)	Black Rebel Motorcycle Club	DIS (likely) [titles not on target: 1/39]
#nate smith (ca)	Nate Smith	DIS (likely) [titles not on target: 1/34]
#orchestral manoeuvres in the	Orchestral Manoeuvres in the Dark	SCR: cut at 'Dark' [titles not on target: 2/19]
#2pac (tupac)	2Pac	DIS [titles not on target: 2/19]
#bastille (4)	Bastille	DIS [titles not on target: 1/30]
#kol (kings of leon)	Kings of Leon	DIS [titles not on target: 3/35]
#mcr (modena city ramblers)	Modena City Ramblers	DIS [titles not on target: 13/33]
#sch (5)	SCH	DIS [titles not on target: 1/33]
#seether (crazyshark)	Seether	SITE [titles not on target: 1/34]
#adele (3)	Adele	DIS [titles not on target: 0/22]
#alcione (flormulher)	Alcione	SITE (likely) [titles not on target: 3/31]
#bryan adams - by videomann	Bryan Adams	SITE [titles not on target: 1/30]
#cannons (5)	Cannons	DIS [titles not on target: 2/31]
#dj willis (williswho.com)	DJ Willis	SITE [titles not on target: no target page]
#elvis presley - [emg]	Elvis Presley	SITE [titles not on target: 13/24]
#michael jackson - [emg]	Michael Jackson	SITE [titles not on target: 2/24]
#nidji - lagubebass.blogspot.com	Nidji	SITE [titles not on target: 3/32]
#peter gabriel (sacd 2003 remaster)	Peter Gabriel	REL [titles not on target: 0/23]
#schiller[www.xytune.com]	Schiller	SITE [titles not on target: 16/28]
#shadmehr aghili  ( wwww.topseda.ir )	Shadmehr Aghili	SITE [titles not on target: 10/30]
#gold - ub40	UB40	REL (likely) [titles not on target: 2/27]
#haim (2)	HAIM	DIS [titles not on target: 0/30]
#jack (1975-) johnson	Jack Johnson	SCR [titles not on target: 1/31]
#maire(moya) brennan	Máire Brennan	SCR [titles not on target: 1/13]
#them (featuring van morrison)	Them	DIS (likely) [titles not on target: 0/28]
#dave matthews band (live)	Dave Matthews Band	REL [titles not on target: 1/29]
#frans bauer @ 4uonly.biz	Frans Bauer	SITE [titles not on target: 6/29]
#morat (2)	Morat	DIS [titles not on target: 2/22]
#sanam (band)	Sanam	DIS [titles not on target: 1/21]
#the beach boys_@discos	The Beach Boys	SITE [titles not on target: 0/28]
#100% billie eilish - billie eilish	Billie Eilish	REL (likely) [titles not on target: 1/22]
#belphegor (aut)	Belphegor	DIS (likely) [titles not on target: 4/36]
#bis (japan)	BiS	DIS (likely) [titles not on target: 2/28]
#celtic thunder (2)	Celtic Thunder	DIS [titles not on target: 3/21]
#christian death (featuring rozz williams)	Christian Death	DIS (likely) [titles not on target: 10/31]
#eodm (eagles of death metal)	Eagles of Death Metal	DIS [titles not on target: 6/29]
#hatik - www.time2rap.io	Hatik	SITE [titles not on target: 0/29]
#kaaris - www.time2rap.io	Kaaris	SITE [titles not on target: 0/26]
#kevin gates (2)	Kevin Gates	DIS [titles not on target: 2/27]
#&quot;weird al&quot; yankovic	"Weird Al" Yankovic	ENT [titles not on target: 1/28]
#38 special - anthology (2001) [flac]	38 Special	REL [titles not on target: 0/27]
#bronco (10)	Bronco	DIS [titles not on target: 1/27]
#die apokalyptischen reiter (la gruta del mago)	Die Apokalyptischen Reiter	SITE [titles not on target: 3/28]
#jul - www.33rapmp3.com	JUL	SITE [titles not on target: 14/28]
#omar cabán -yurifox-	Omar Cabán	SITE (unsure): -YuriFoX- looks like an uploader tag [titles not on target: no target page]
#vonda shepard [ally mcbeal]	Vonda Shepard	REL (likely) [titles not on target: 1/19]
#a-ha [mp3xa.cc]	a-ha	SITE [titles not on target: 0/24]
#alonzo - www.time2rap.io	Alonzo	SITE [titles not on target: 1/26]
#b.b. (1925-) king	B.B. King	SCR [titles not on target: 0/5]
#ben harper; innocent criminals (the)	Ben Harper & The Innocent Criminals	SCR [titles not on target: no target page]
#dio (2)	Dio	DIS [titles not on target: 1/25]
#luke kelly (the dubliners)	Luke Kelly	DIS (likely) [titles not on target: 6/28]
#moein (www.best-ir5.com)	Moein	SITE [titles not on target: 5/27]
#molotov - todoenmp3.net	Molotov	SITE [titles not on target: 6/26]
#oasis (2)	Oasis	DIS [titles not on target: 5/23]
#therion (crazyshark)	Therion	SITE [titles not on target: 7/27]
#wali - www.fullalbummp3.net	Wali	SITE [titles not on target: 3/27]
#aitana (2)	Aitana	DIS [titles not on target: 5/24]
#barbara (5)	Barbara	DIS [titles not on target: 0/21]
#black sabbath (crazyshark)	Black Sabbath	SITE [titles not on target: 0/17]
#britney (1981-) spears	Britney Spears	SCR [titles not on target: 4/26]
#falconer (la gruta del mago)	Falconer	SITE [titles not on target: 2/29]
#helmet (2)	Helmet	DIS [titles not on target: 0/33]
#marshmello (2)	Marshmello	DIS [titles not on target: 0/15]
#mina (3)	Mina	DIS [titles not on target: 14/24]
#rod stewart (2001)	Rod Stewart	REL [titles not on target: 1/15]
#shakira              facebook	Shakira	SITE [titles not on target: 4/24]
#aeon (swe)	Aeon	DIS (likely) [titles not on target: 0/25]
#asia (2)	Asia	DIS [titles not on target: 1/26]
#asia (rock)	Asia	DIS (likely) [titles not on target: 0/26]
#b'z - singles	B'z	REL [titles not on target: 2/24]
#david bowie - the singles collection (2сd)	David Bowie	REL [titles not on target: 3/11]
#frank (usa-1990-the capitol years-pop) sinatra	Frank Sinatra	SCR [titles not on target: 12/25]
#issues (3)	Issues	DIS [titles not on target: 0/25]
#jimmy buffett (usa)	Jimmy Buffett	DIS [titles not on target: 14/34]
#kanye west (unreleased)	Kanye West	REL [titles not on target: 13/22]
#marea [www.rizcorp.com]	Marea	SITE [titles not on target: 3/24]
#rammstein - megadisco.xyz	Rammstein	SITE [titles not on target: 1/18]
#sidhu moose wala (riskyjatt.com)	Sidhu Moose Wala	SITE [titles not on target: 6/21]
#van halen - very best of	Van Halen	REL [titles not on target: 0/20]
#willie (1933-) nelson	Willie Nelson	SCR [titles not on target: 6/7]
